변수명,원본변수,변환유형,설명
X1,X1,원본값,유동자산 (Current Assets)
X2,X2,원본값,매출원가 (Cost of Goods Sold)
X3,X3,원본값,감가상각 (Depreciation & Amortization)
X4,X4,원본값,EBITDA
X5,X5,원본값,재고자산 (Inventory)
X6,X6,원본값,당기순이익 (Net Income)
X7,X7,원본값,매출채권 (Total Receivables)
X8,X8,원본값,시가총액 (Market Value)
X9,X9,원본값,순매출액 (Net Sales)
X10,X10,원본값,총자산 (Total Assets)
X11,X11,원본값,장기부채 (Total Long-term Debt)
X12,X12,원본값,EBIT
X13,X13,원본값,매출총이익 (Gross Profit)
X14,X14,원본값,유동부채 (Total Current Liabilities)
X15,X15,원본값,이익잉여금 (Retained Earnings)
X16,X16,원본값,총매출액 (Total Revenue)
X17,X17,원본값,총부채 (Total Liabilities)
X18,X18,원본값,총영업비용 (Total Operating Expenses)
X1_pct1,X1,전년대비 변화율,유동자산 (Current Assets)의 전년대비 변화율
X1_pct2,X1,2년 변화율,유동자산 (Current Assets)의 2년 변화율
X1_pct3,X1,3년 변화율,유동자산 (Current Assets)의 3년 변화율
X1_diff1,X1,전년대비 절대변화량,유동자산 (Current Assets)의 전년대비 절대변화량
X1_diff2,X1,2년 절대변화량,유동자산 (Current Assets)의 2년 절대변화량
X1_ma3,X1,3년 이동평균,유동자산 (Current Assets)의 3년 이동평균
X1_ma5,X1,5년 이동평균,유동자산 (Current Assets)의 5년 이동평균
X1_std3,X1,3년 변동성(표준편차),유동자산 (Current Assets)의 3년 변동성(표준편차)
X1_std5,X1,5년 변동성(표준편차),유동자산 (Current Assets)의 5년 변동성(표준편차)
X1_min3,X1,3년 최솟값,유동자산 (Current Assets)의 3년 최솟값
X1_max3,X1,3년 최댓값,유동자산 (Current Assets)의 3년 최댓값
X1_min5,X1,5년 최솟값,유동자산 (Current Assets)의 5년 최솟값
X1_max5,X1,5년 최댓값,유동자산 (Current Assets)의 5년 최댓값
X1_acc,X1,가속도(변화율의 변화),유동자산 (Current Assets)의 가속도(변화율의 변화)
X1_ratio_ma3,X1,현재값/3년이동평균,유동자산 (Current Assets)의 현재값/3년이동평균
X1_ratio_ma5,X1,현재값/5년이동평균,유동자산 (Current Assets)의 현재값/5년이동평균
X1_down3,X1,3년 연속 하락 여부(0/1),유동자산 (Current Assets)의 3년 연속 하락 여부(0/1)
X1_down5,X1,5년 연속 하락 여부(0/1),유동자산 (Current Assets)의 5년 연속 하락 여부(0/1)
